Codes:,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,corporate_limited_partners,tax_exempt_limited_partners
4539,0.0,3232783.22938,22839025.4317,9865830.41157,13101505.5525,37852339.2421,79258998.4788,257264.692438,61095578.9275,371649.436554
45391,0.0,808195.807345,5709756.35792,2466457.60289,3275376.38812,9463084.81053,19814749.6197,64316.1731095,15273894.7319,92912.3591386
453910,0.0,808195.807345,5709756.35792,2466457.60289,3275376.38812,9463084.81053,19814749.6197,64316.1731095,15273894.7319,92912.3591386
45392,0.0,808195.807345,5709756.35792,2466457.60289,3275376.38812,9463084.81053,19814749.6197,64316.1731095,15273894.7319,92912.3591386
453920,0.0,808195.807345,5709756.35792,2466457.60289,3275376.38812,9463084.81053,19814749.6197,64316.1731095,15273894.7319,92912.3591386
45393,0.0,808195.807345,5709756.35792,2466457.60289,3275376.38812,9463084.81053,19814749.6197,64316.1731095,15273894.7319,92912.3591386
453930,0.0,808195.807345,5709756.35792,2466457.60289,3275376.38812,9463084.81053,19814749.6197,64316.1731095,15273894.7319,92912.3591386
45399,0.0,808195.807345,5709756.35792,2466457.60289,3275376.38812,9463084.81053,19814749.6197,64316.1731095,15273894.7319,92912.3591386
453991,0.0,404097.903673,2854878.17896,1233228.80145,1637688.19406,4731542.40526,9907374.80985,32158.0865547,7636947.36594,46456.1795693
453998,0.0,404097.903673,2854878.17896,1233228.80145,1637688.19406,4731542.40526,9907374.80985,32158.0865547,7636947.36594,46456.1795693
454,0.0,26960018.3877,190467625.543,82276772.1907,109260907.874,315672190.053,660985876.491,2145476.62076,509510788.203,3099396.07216
4541,0.0,8986672.79589,63489208.5143,27425590.7302,36420302.6245,105224063.351,220328625.497,715158.873587,169836929.401,1033132.02405
45411,0.0,8986672.79589,63489208.5143,27425590.7302,36420302.6245,105224063.351,220328625.497,715158.873587,169836929.401,1033132.02405
454111,0.0,2995557.59863,21163069.5048,9141863.57674,12140100.8748,35074687.7836,73442875.1657,238386.291196,56612309.8003,344377.341351
454112,0.0,2995557.59863,21163069.5048,9141863.57674,12140100.8748,35074687.7836,73442875.1657,238386.291196,56612309.8003,344377.341351
454113,0.0,2995557.59863,21163069.5048,9141863.57674,12140100.8748,35074687.7836,73442875.1657,238386.291196,56612309.8003,344377.341351
4542,0.0,8986672.79589,63489208.5143,27425590.7302,36420302.6245,105224063.351,220328625.497,715158.873587,169836929.401,1033132.02405
45421,0.0,8986672.79589,63489208.5143,27425590.7302,36420302.6245,105224063.351,220328625.497,715158.873587,169836929.401,1033132.02405
454210,0.0,8986672.79589,63489208.5143,27425590.7302,36420302.6245,105224063.351,220328625.497,715158.873587,169836929.401,1033132.02405
4543,0.0,8986672.79589,63489208.5143,27425590.7302,36420302.6245,105224063.351,220328625.497,715158.873587,169836929.401,1033132.02405
45431,0.0,4493336.39795,31744604.2571,13712795.3651,18210151.3123,52612031.6754,110164312.748,357579.436794,84918464.7005,516566.012026
454310,0.0,4493336.39795,31744604.2571,13712795.3651,18210151.3123,52612031.6754,110164312.748,357579.436794,84918464.7005,516566.012026
45439,0.0,4493336.39795,31744604.2571,13712795.3651,18210151.3123,52612031.6754,110164312.748,357579.436794,84918464.7005,516566.012026
454390,0.0,4493336.39795,31744604.2571,13712795.3651,18210151.3123,52612031.6754,110164312.748,357579.436794,84918464.7005,516566.012026
48.49,0.0,1349165000.0,676703000.0,311236000.0,3846106968.4,976012968.397,-163960968.397,99494031.6034,267969000.0,-650182031.603
481,0.0,46677211.3308,23411968.8394,10767866.455,133064189.899,33767229.0546,-5672575.83161,3442206.06027,9270953.25117,-22494419.9506
4811,0.0,23338605.6654,11705984.4197,5383933.2275,66532094.9494,16883614.5273,-2836287.9158,1721103.03014,4635476.62558,-11247209.9753
48111,0.0,23338605.6654,11705984.4197,5383933.2275,66532094.9494,16883614.5273,-2836287.9158,1721103.03014,4635476.62558,-11247209.9753
481111,0.0,11669302.8327,5852992.20985,2691966.61375,33266047.4747,8441807.26366,-1418143.9579,860551.515069,2317738.31279,-5623604.98765
481112,0.0,11669302.8327,5852992.20985,2691966.61375,33266047.4747,8441807.26366,-1418143.9579,860551.515069,2317738.31279,-5623604.98765
4812,0.0,23338605.6654,11705984.4197,5383933.2275,66532094.9494,16883614.5273,-2836287.9158,1721103.03014,4635476.62558,-11247209.9753
48121,0.0,23338605.6654,11705984.4197,5383933.2275,66532094.9494,16883614.5273,-2836287.9158,1721103.03014,4635476.62558,-11247209.9753
481211,0.0,7779535.22181,3901994.80657,1794644.40917,22177364.9831,5627871.5091,-945429.305268,573701.010046,1545158.87519,-3749069.99177
481212,0.0,7779535.22181,3901994.80657,1794644.40917,22177364.9831,5627871.5091,-945429.305268,573701.010046,1545158.87519,-3749069.99177
481219,0.0,7779535.22181,3901994.80657,1794644.40917,22177364.9831,5627871.5091,-945429.305268,573701.010046,1545158.87519,-3749069.99177
482,0.0,46677237.33,23411981.8798,10767872.4527,133064264.015,33767247.8629,-5672578.99123,3442207.97758,9270958.41508,-22494432.48
4821,0.0,46677237.33,23411981.8798,10767872.4527,133064264.015,33767247.8629,-5672578.99123,3442207.97758,9270958.41508,-22494432.48
48211,0.0,46677237.33,23411981.8798,10767872.4527,133064264.015,33767247.8629,-5672578.99123,3442207.97758,9270958.41508,-22494432.48
482111,0.0,23338618.665,11705990.9399,5383936.22635,66532132.0077,16883623.9315,-2836289.49561,1721103.98879,4635479.20754,-11247216.24
482112,0.0,23338618.665,11705990.9399,5383936.22635,66532132.0077,16883623.9315,-2836289.49561,1721103.98879,4635479.20754,-11247216.24
483,0.0,68165358.6249,34189815.6842,15724921.3825,194321125.148,49312184.9539,-8283981.73036,5026847.23165,13538894.787,-32849867.4037
4831,0.0,34082679.3125,17094907.8421,7862460.69124,97160562.5741,24656092.477,-4141990.86518,2513423.61583,6769447.39352,-16424933.7019
48311,0.0,34082679.3125,17094907.8421,7862460.69124,97160562.5741,24656092.477,-4141990.86518,2513423.61583,6769447.39352,-16424933.7019
483111,0.0,8520669.82812,4273726.96052,1965615.17281,24290140.6435,6164023.11924,-1035497.7163,628355.903956,1692361.84838,-4106233.42546
483112,0.0,8520669.82812,4273726.96052,1965615.17281,24290140.6435,6164023.11924,-1035497.7163,628355.903956,1692361.84838,-4106233.42546
483113,0.0,8520669.82812,4273726.96052,1965615.17281,24290140.6435,6164023.11924,-1035497.7163,628355.903956,1692361.84838,-4106233.42546
483114,0.0,8520669.82812,4273726.96052,1965615.17281,24290140.6435,6164023.11924,-1035497.7163,628355.903956,1692361.84838,-4106233.42546
4832,0.0,34082679.3125,17094907.8421,7862460.69124,97160562.5741,24656092.477,-4141990.86518,2513423.61583,6769447.39352,-16424933.7019
48321,0.0,34082679.3125,17094907.8421,7862460.69124,97160562.5741,24656092.477,-4141990.86518,2513423.61583,6769447.39352,-16424933.7019
483211,0.0,17041339.6562,8547453.92105,3931230.34562,48580281.2871,12328046.2385,-2070995.43259,1256711.80791,3384723.69676,-8212466.85093
483212,0.0,17041339.6562,8547453.92105,3931230.34562,48580281.2871,12328046.2385,-2070995.43259,1256711.80791,3384723.69676,-8212466.85093
484,0.0,105564909.312,52948372.3829,24352544.0658,300937196.949,76367768.5797,-12829064.4654,7784873.17954,20967133.8816,-50873249.1595
4841,0.0,52782454.6558,26474186.1914,12176272.0329,150468598.475,38183884.2898,-6414532.23269,3892436.58977,10483566.9408,-25436624.5798
48411,0.0,26391227.3279,13237093.0957,6088136.01645,75234299.2373,19091942.1449,-3207266.11635,1946218.29488,5241783.4704,-12718312.2899
484110,0.0,26391227.3279,13237093.0957,6088136.01645,75234299.2373,19091942.1449,-3207266.11635,1946218.29488,5241783.4704,-12718312.2899
48412,0.0,26391227.3279,13237093.0957,6088136.01645,75234299.2373,19091942.1449,-3207266.11635,1946218.29488,5241783.4704,-12718312.2899
484121,0.0,13195613.664,6618546.54786,3044068.00822,37617149.6186,9545971.07246,-1603633.05817,973109.147442,2620891.7352,-6359156.14494
484122,0.0,13195613.664,6618546.54786,3044068.00822,37617149.6186,9545971.07246,-1603633.05817,973109.147442,2620891.7352,-6359156.14494
4842,0.0,52782454.6558,26474186.1914,12176272.0329,150468598.475,38183884.2898,-6414532.23269,3892436.58977,10483566.9408,-25436624.5798
48421,0.0,17594151.5519,8824728.73048,4058757.3443,50156199.4915,12727961.4299,-2138177.4109,1297478.86326,3494522.3136,-8478874.85992
484210,0.0,17594151.5519,8824728.73048,4058757.3443,50156199.4915,12727961.4299,-2138177.4109,1297478.86326,3494522.3136,-8478874.85992
48422,0.0,17594151.5519,8824728.73048,4058757.3443,50156199.4915,12727961.4299,-2138177.4109,1297478.86326,3494522.3136,-8478874.85992
484220,0.0,17594151.5519,8824728.73048,4058757.3443,50156199.4915,12727961.4299,-2138177.4109,1297478.86326,3494522.3136,-8478874.85992
48423,0.0,17594151.5519,8824728.73048,4058757.3443,50156199.4915,12727961.4299,-2138177.4109,1297478.86326,3494522.3136,-8478874.85992
484230,0.0,17594151.5519,8824728.73048,4058757.3443,50156199.4915,12727961.4299,-2138177.4109,1297478.86326,3494522.3136,-8478874.85992
485,0.0,14692949.9151,7369568.0561,3389485.31853,41885653.0186,10629174.09,-1785600.94331,1083530.05244,2918290.27273,-7080744.03506
4851,0.0,2448824.98585,1228261.34268,564914.219756,6980942.16976,1771529.015,-297600.157219,180588.342074,486381.712121,-1180124.00584
48511,0.0,2448824.98585,1228261.34268,564914.219756,6980942.16976,1771529.015,-297600.157219,180588.342074,486381.712121,-1180124.00584
485111,0.0,612206.246463,307065.335671,141228.554939,1745235.54244,442882.253751,-74400.0393047,45147.0855184,121595.42803,-295031.001461
485112,0.0,612206.246463,307065.335671,141228.554939,1745235.54244,442882.253751,-74400.0393047,45147.0855184,121595.42803,-295031.001461
485113,0.0,612206.246463,307065.335671,141228.554939,1745235.54244,442882.253751,-74400.0393047,45147.0855184,121595.42803,-295031.001461
485119,0.0,612206.246463,307065.335671,141228.554939,1745235.54244,442882.253751,-74400.0393047,45147.0855184,121595.42803,-295031.001461
4852,0.0,2448824.98585,1228261.34268,564914.219756,6980942.16976,1771529.015,-297600.157219,180588.342074,486381.712121,-1180124.00584
48521,0.0,2448824.98585,1228261.34268,564914.219756,6980942.16976,1771529.015,-297600.157219,180588.342074,486381.712121,-1180124.00584
485210,0.0,2448824.98585,1228261.34268,564914.219756,6980942.16976,1771529.015,-297600.157219,180588.342074,486381.712121,-1180124.00584
4853,0.0,2448824.98585,1228261.34268,564914.219756,6980942.16976,1771529.015,-297600.157219,180588.342074,486381.712121,-1180124.00584
48531,0.0,1224412.49293,614130.671342,282457.109878,3490471.08488,885764.507501,-148800.078609,90294.1710368,243190.856061,-590062.002921
485310,0.0,1224412.49293,614130.671342,282457.109878,3490471.08488,885764.507501,-148800.078609,90294.1710368,243190.856061,-590062.002921
48532,0.0,1224412.49293,614130.671342,282457.109878,3490471.08488,885764.507501,-148800.078609,90294.1710368,243190.856061,-590062.002921
485320,0.0,1224412.49293,614130.671342,282457.109878,3490471.08488,885764.507501,-148800.078609,90294.1710368,243190.856061,-590062.002921
4854,0.0,2448824.98585,1228261.34268,564914.219756,6980942.16976,1771529.015,-297600.157219,180588.342074,486381.712121,-1180124.00584
